grid_id_0.25deg,lat_0.25deg,lng_0.25deg,GHM_0.25deg,viirs_dnb_avg_rad_0.25deg,viirs_dnb_cf_cvg_0.25deg,world_pop_density_0.25deg
9312,-11,130.25,,0.121204065,7.55974917,0.029434647
9447,-11,130.5,,0.12409529,8.301446555,
9582,-11,130.75,,0.124586581,8.603968694,
9717,-11,131,,0.122506525,8.061777804,
9852,-11,131.25,,0.119860334,7.800903595,
9987,-11,131.5,,0.120796497,7.536989083,
10122,-11,131.75,,0.120560463,7.914158862,
10257,-11,132,,0.118539713,7.713075845,
10392,-11,132.25,9.14E-04,0.123136329,7.20029863,0.006116449
10527,-11,132.5,0.018818767,0.152098991,8.087523277,0.006116449
10662,-11,132.75,5.16E-04,0.13116809,7.914073072,0.006116449
10797,-11,133,0.016024924,0.132395195,8.398597627,0.006116449
10932,-11,133.25,,0.122767099,7.861105459,
11067,-11,133.5,,0.119984294,7.95054176,
11202,-11,133.75,,0.122245888,8.189810188,
11337,-11,134,,0.118163076,8.35110024,
11472,-11,134.25,,0.119398337,8.014177341,
11607,-11,134.5,,0.120314966,7.915782207,
11742,-11,134.75,,0.118503853,8.064938997,
11877,-11,135,,0.117605956,8.218439069,
12012,-11,135.25,,0.119202053,7.875784867,
12147,-11,135.5,,0.118624018,7.674386788,
12282,-11,135.75,,0.120121981,7.669580247,
12417,-11,136,,0.124767455,7.59605429,
12552,-11,136.25,,0.124099517,7.42210195,
12687,-11,136.5,,0.122661774,7.673599768,
12822,-11,136.75,0.006373545,0.140844688,8.658084277,0.10533379
12957,-11,137,,0.119932139,7.764576449,
13092,-11,137.25,,0.117934058,7.562280152,
13227,-11,137.5,,0.112481415,7.375279461,
13362,-11,137.75,,0.110236436,7.512883303,
13497,-11,138,,0.116199815,7.232367784,
13632,-11,138.25,,0.117854317,7.093503195,
13767,-11,138.5,,0.115767142,6.764159608,
13902,-11,138.75,,0.114908219,6.304759552,
14037,-11,139,,0.11489246,6.093708516,
14172,-11,139.25,,0.115800448,5.585843749,
14307,-11,139.5,,0.1152418,5.701786653,
14442,-11,139.75,,0.117775817,5.50668364,
14577,-11,140,,0.123127186,5.237708002,
14712,-11,140.25,,0.118844367,5.479060503,
14847,-11,140.5,,0.115487337,5.691473973,
14982,-11,140.75,,0.114206895,6.041881225,
15117,-11,141,,0.114872943,6.049139607,
15252,-11,141.25,,0.11513778,6.568754243,
15387,-11,141.5,,0.116903722,6.329390157,
15522,-11,141.75,,0.115572055,5.936182888,
15657,-11,142,3.39E-04,0.119910417,6.196858575,0.056740034
132,-11,113.25,,0.147854078,8.732915962,
267,-11,113.5,,0.147103725,8.795887693,
402,-11,113.75,,0.146377463,8.770699778,
537,-11,114,,0.143280795,8.997204436,
672,-11,114.25,,0.142639427,9.48073047,
807,-11,114.5,,0.143489488,9.263337197,
942,-11,114.75,,0.144069693,9.279561196,
1077,-11,115,,0.145647899,9.128509266,
1212,-11,115.25,,0.148967842,9.291954045,
1347,-11,115.5,,0.146714159,9.146783581,
1482,-11,115.75,,0.14818439,9.058623455,
1617,-11,116,,0.146645556,9.246204708,
1752,-11,116.25,,0.141751068,9.191474606,
1887,-11,116.5,,0.140422268,9.156885052,
2022,-11,116.75,,0.14837737,9.328832184,
2157,-11,117,,0.148133652,9.250548473,
2292,-11,117.25,,0.14575402,9.171949358,
